Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,2.2uF,C_0402_1005Metric,127.0,-140.3,-90.0,top
C10,22uF,C_0603_1608Metric,151.8625,-120.1,0.0,top
C11,4.7ÂµF,C_0805_2012Metric,150.5375,-128.45,90.0,top
C12,10uF,C_0402_1005Metric,167.1625,-145.97,-90.0,top
C13,22uF,C_0603_1608Metric,155.4,-142.425,90.0,top
C2,0.01uF,C_0402_1005Metric,123.08,-144.2,0.0,top
C3,0.01uF,C_0402_1005Metric,170.5,-142.7,0.0,top
C4,2.2uF,C_0402_1005Metric,174.4,-138.77,-90.0,top
C6,1uF,C_0402_1005Metric,136.4325,-141.0,90.0,top
C7,10uF,C_0402_1005Metric,140.5575,-126.975,0.0,top
C8,22uF,C_0603_1608Metric,143.9375,-124.975,90.0,top
C9,3.3nF,C_0603_1608Metric,138.8375,-124.65,-90.0,top
D1,1N4734A-TAP,D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp,152.9075,-125.5,0.0,top
D2,CRS08,D_1206_3216Metric,157.3,-141.7,90.0,top
J3,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_GCT_USB4125-xx-x-0190_6P_TopMnt_Horizontal,142.35,-145.58,0.0,top
L1,4.7uH,L_1008_2520Metric,160.5,-142.2,180.0,top
Q1,PMOS,SOT-23,153.475,-128.5,180.0,top
Q2,PMOS,SOT-23,142.2275,-103.325,0.0,top
Q3,PMOS,SOT-23,146.665,-103.125,90.0,top
Q4,NMOS,SOT-23,146.9,-131.4,0.0,top
R1,1mR,R_1206_3216Metric,156.4,-117.025,-90.0,top
R10,10k,R_0603_1608Metric,147.2375,-128.175,-90.0,top
R11,10k,R_0603_1608Metric,148.7375,-128.225,-90.0,top
R12,27kR,R_0603_1608Metric,163.3,-143.475,90.0,top
R13,220kR,R_0603_1608Metric,157.7,-145.475,-90.0,top
R14,18kR,R_0603_1608Metric,156.2,-145.475,90.0,top
R15,12kR,R_0402_1005Metric,154.9625,-144.84,-90.0,top
R16,1k,R_1206_3216Metric,156.5375,-127.9375,-90.0,top
R17,100R,R_0805_2012Metric,147.6525,-107.525,0.0,top
R18,10k,R_0603_1608Metric,147.44,-105.825,0.0,top
R19,20k,R_0603_1608Metric,141.9125,-119.975,180.0,top
R2,220kR,R_0603_1608Metric,162.4,-118.4,-90.0,top
R20,22k,R_0603_1608Metric,141.9125,-121.475,0.0,top
R21,100R,R_0805_2012Metric,142.4525,-107.525,180.0,top
R22,1k,R_1206_3216Metric,144.275,-118.1,180.0,top
R23,1k,R_1206_3216Metric,143.8375,-130.8375,-90.0,top
R3,220kR,R_0603_1608Metric,162.4,-121.45,-90.0,top
R4,1k,R_1206_3216Metric,139.2325,-141.18,0.0,top
R5,6.8k,R_0805_2012Metric,134.7,-142.88,180.0,top
R6,20k,R_0603_1608Metric,144.1375,-120.775,90.0,top
R7,12k,R_0402_1005Metric,141.3375,-122.675,180.0,top
R8,10k,R_0603_1608Metric,142.64,-105.825,180.0,top
R9,3.3k,R_0603_1608Metric,145.7375,-128.175,-90.0,top
SW2,HX SS12D10G6,SolderWire-0.75sqmm_1x03_P4.8mm_D1.25mm_OD2.3mm,155.8,-148.8,0.0,top
U1,INA219AIDCNR,SOT-23-8,159.6,-119.125,0.0,top
U2,DRV8833PWPR,TSSOP-16_4.4x5mm_P0.65mm,123.7,-139.8875,-90.0,top
U3,DRV8833PWPR,TSSOP-16_4.4x5mm_P0.65mm,171.0,-138.3375,-90.0,top
U4,TC4426xOA,SOIC-8_3.9x4.9mm_P1.27mm,144.465,-112.225,90.0,top
U5,CH224K,SSOP-10-1EP_3.9x4.9mm_P1mm_EP2.1x3.3mm,132.595,-146.58,0.0,top
U6,TPS82130,Texas_SIL0008D_MicroSiP-8-1EP_2.8x3mm_P0.65mm_EP1.1x1.9mm_ThermalVias,141.4075,-124.775,90.0,top
U7,TP4056-42-ESOP8,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,147.6375,-123.0,90.0,top
U8,TPTLV70033DDCR,SOT-23-5,164.6,-146.7,0.0,top
U9,MT3608L,SOT-23-6,160.5,-145.3,0.0,top
